"uniqueid","highest_severity_rank","max_charge"
11731093,5,1
11731097,4,2
11731098,5,2
11731128,4,2
11731145,5,3
11731148,5,2
11731254,6,2
11731753,6,20
11731754,5,3
11731757,4,3
11731762,5,3
11731766,5,1
11731768,5,2
11731772,4,2
11731775,5,5
11731783,5,3
11731791,5,2
11731794,3,1
11731833,5,3
11731836,6,1
11731847,2,1
11731871,5,3
11731907,5,3
11731910,5,7
11731912,5,3
11731921,4,1
11731927,6,3
11731928,5,2
11731932,5,5
11731939,5,3
11731941,5,10
11731947,4,1
11731955,5,4
11731956,5,2
11731972,5,2
11731973,5,5
11731975,5,1
11731991,5,1
11731997,4,1
11731999,5,2
11732002,4,1
11732005,5,7
11732007,5,2
11732009,5,2
11732029,5,1
11732038,4,7
11732134,7,3
11732139,6,4
11732197,5,6
11732268,4,1
11732275,5,3
11732282,5,5
11732294,5,7
11732302,6,1
11732312,6,3
11732322,7,2
11732330,5,2
11732332,5,1
11732340,5,3
11732356,7,2
11732360,6,2
11732372,5,1
11732373,6,3
11732381,5,2
11732406,7,1
11732414,3,1
11732459,7,1
11732463,7,1
11732477,5,2
11732670,5,1
11732683,5,1
11732687,5,4
11732715,4,2
11732727,5,2
11732731,4,1
11732744,5,3
11732750,5,1
11732754,4,4
11732756,5,3
11732762,6,3
11732767,5,2
11732775,7,2
11732782,5,3
11732793,4,2
11732797,4,2
11732815,5,4
11732818,5,3
11732828,4,2
11732829,5,4
11732837,5,1
11732848,5,1
11732853,5,6
11732930,7,6
11732936,5,3
11732940,7,2
11732950,4,3
11732952,5,1
11732954,6,2
11732959,4,1
11732976,5,2
11732988,4,2
11732989,5,2
11733030,6,1
11733061,5,2
11733074,5,1
11733076,6,1
11733078,5,3
11733080,6,7
11733081,6,3
11733098,5,3
11733115,5,3
11733120,7,3
11733139,6,4
11733167,5,5
11733193,5,4
11733201,5,3
11733211,5,2
11733226,5,6
11733229,5,1
11733257,5,1
11733484,5,2
11733492,5,4
11733495,4,2
11733575,6,6
11733580,7,1
11733590,4,3
11733592,4,5
11733595,5,3
11733597,5,1
11733674,5,2
11733685,4,2
11733696,4,2
11733740,5,2
11733762,6,2
11733786,5,1
11733795,5,5
11733803,5,2
11733812,5,2
11733817,5,1
11733825,6,5
11733831,4,3
11733836,5,4
11733842,6,2
11733845,6,16
11733853,5,4
11733856,4,2
11733858,7,5
11733869,4,2
11733883,5,3
11733888,5,2
11733917,4,2
11733919,4,2
11733929,4,3
11734276,7,2
11734295,5,3
11734310,6,1
11734322,5,6
11734325,5,2
11734327,4,3
11734339,4,2
11734358,4,4
11734359,5,4
11734390,6,4
11734412,6,2
11734428,6,2
11734447,6,2
11734456,5,3
11734471,6,1
11734500,5,4
11734505,6,6
11734514,7,4
11734559,4,3
11734576,5,3
11734587,4,2
11734596,7,2
11734598,5,2
11734605,4,3
11734609,6,1
11734647,3,1
11734651,6,6
11734670,4,4
11734673,6,1
11734674,7,1
11734685,5,7
11734699,7,3
11734705,4,6
11734726,5,4
11734759,5,3
11734876,6,2
11734934,5,1
11734944,5,1
11734947,5,4
11734951,4,2
11734968,5,1
11734973,6,2
11734981,5,1
11735003,4,1
11735010,5,2
11735028,5,4
11735104,5,4
